Player,Team,Position,PDO
Aleksanteri Kaskimaki,STL,C,0.741
Olle Lycksell,OTT,R,0.964
Brayden Yager,WPG,C,0.98
Keaton Middleton,COL,D,1.018
Juuso Parssinen,NYR,C,1.104
Jack Studnicka,FLA,C,0.907
Dante Fabbro,CBJ,D,0.967
David Kampf,"VAN, WSH",C,0.926
Tanner Pearson,"BUF, WPG",L,1.016
Dryden Hunt,CGY,L,0.727
Carl Grundstrom,PHI,R,1.033
Andrew Peeke,BOS,D,0.972
Ryan Greene,CHI,C,0.995
Dakota Joshua,TOR,C,1.019
Nikita Zadorov,BOS,D,1.015
Albert Johansson,DET,D,0.966
Ethan Cardwell,S.J,R,0.974
J.T. Compher,DET,L,0.976
Zachary L'Heureux,NSH,L,1.015
Connor Clifton,PIT,D,0.994
Ryan McDonagh,T.B,D,1.034
Tye Kartye,"NYR, SEA",L,0.987
Ty Emberson,EDM,D,0.976
Ian Cole,UTA,D,1.002
Sam Steel,DAL,C,1.017
Zach Aston-Reese,CBJ,"C, L",0.988
Nick Bjugstad,"N.J, STL",C,0.956
Mackenzie MacEachern,VAN,L,1.05
Victor Soderstrom,BOS,D,1.09
Kirill Kudryavtsev,VAN,D,1.087
Ryan Reaves,S.J,R,0.962
Carson Soucy,"NYI, NYR",D,0.995
Tim Washe,ANA,C,0.95
Nick Leddy,S.J,D,0.955
Liam Ohgren,"MIN, VAN",L,0.974
Jason Dickinson,"CHI, EDM",C,0.973
Ty Murchison,PHI,D,1.131
Tyler Myers,"DAL, VAN",D,0.95
Sacha Boisvert,CHI,C,1.002
Kevin Bahl,CGY,D,1.008
Scott Mayfield,NYI,D,0.991
Reid Schaefer,NSH,L,0.965
Connor Dewar,PIT,C,1.021
Sean Kuraly,BOS,C,0.966
Colton Parayko,STL,D,0.994
Nikolas Matinpalo,OTT,D,0.991
Mason Appleton,DET,C,0.989
Nick Perbix,NSH,D,0.985
Juho Lammikko,N.J,C,0.979
Hunter McDonald,PHI,D,1.375
Ben Chiarot,DET,D,0.988
Kaiden Guhle,MTL,D,1.027
Wyatt Kaiser,CHI,D,0.991
Louis Crevier,CHI,D,1.007
Yakov Trenin,MIN,C,1.029
Esa Lindell,DAL,D,1.023
Curtis Lazar,EDM,C,0.973
Joe Veleno,MTL,C,0.981
Vincent Iorio,"NYR, S.J",D,1.014
Michael McCarron,"MIN, NSH",C,0.941
Erik Cernak,T.B,D,1.015
Noah Juulsen,PHI,D,0.997
Mark Kastelic,BOS,C,0.994
Joseph LaBate,VAN,C,0.75
Oliver Kapanen,MTL,C,1.031
Brian Halonen,N.J,L,0.995
Tomas Nosek,FLA,L,0.936
Rodrigo Abols,PHI,C,0.987
Dylan McIlrath,WSH,D,0.989
Ludvig Jansson,FLA,D,1.114
Nathan Walker,STL,L,0.944
Abram Wiebe,CGY,D,1.018
Mattias Samuelsson,BUF,D,1.038
Braden Schneider,NYR,D,1.007
Ryan Johnson,BUF,D,1.024
Jacob Bernard-Docker,DET,D,0.997
Shakir Mukhamadullin,S.J,D,0.998
Elias Pettersson,VAN,D,0.974
Brennan Othmann,"CGY, NYR",L,0.971
Nic Dowd,"VGK, WSH",C,0.974
Jake Middleton,MIN,D,1.003
Hugh McGing,STL,L,1.082
Josh Anderson,MTL,R,0.982
Brandon Duhaime,WSH,"L, R",0.975
Jean-Gabriel Pageau,NYI,C,1.001
Ryan Pulock,NYI,D,1.003
Troy Stecher,"EDM, TOR",D,1.012
Morgan Barron,WPG,C,1.001
Mikulas Hovorka,FLA,D,0.976
Tyler Pitlick,MIN,C,0.982
Georgii Merkulov,BOS,C,0.833
Jamie Oleksiak,SEA,D,1.007
Michael Rasmussen,DET,C,0.967
Henry Thrun,TOR,D,0.962
Ryan Winterton,SEA,C,0.997
Cale Fleury,SEA,D,1.025
Riley Stillman,EDM,D,1.076
Simon Lundmark,T.B,D,1.143
Isac Lundeström,CBJ,C,0.991
Teddy Blueger,VAN,C,0.975
Travis Hamonic,DET,D,0.948
Will Borgen,NYR,D,1.01
Luke Schenn,"BUF, WPG",D,0.967
Chris Tanev,TOR,D,1.093
Colin Blackwell,DAL,C,0.99
Haydn Fleury,WPG,D,0.931
Garnet Hathaway,PHI,R,0.973
Oskar Bäck,DAL,C,0.999
Luke Kunin,FLA,C,0.99
Martin Fehérváry,WSH,D,1.013
Caleb Jones,PIT,D,1.02
Alex Vlasic,CHI,D,0.993
Mike Matheson,MTL,D,1.003
Alexandre Carrier,MTL,D,0.99
Noel Acciari,PIT,C,1.016
Arttu Hyry,DAL,R,0.989
Cole Koepke,WPG,L,0.99
Ilya Mikheyev,CHI,R,1.01
Alexander Romanov,NYI,D,0.988
Parker Ford,WPG,C,0.99
Philippe Myers,TOR,D,0.983
Anthony Richard,PHI,C,1
Ryan Tverberg,TOR,C,1.167
Kevin Stenlund,UTA,C,0.971
Ben Meyers,SEA,C,0.968
Xavier Parent,N.J,C,0.997
Mattias Janmark,EDM,C,0.946
Adam Larsson,SEA,D,0.987
Michael Pezzetta,TOR,L,0.826
Patrick Giles,S.J,R,1.034
Jake McCabe,TOR,D,1.012
Nils Aman,VAN,C,0.967
Scott Laughton,"L.A, TOR",C,1
Kai Uchacz,VGK,C,0.959
Marcus Pettersson,VAN,D,0.978
Landon Slaggert,CHI,L,1.005
Beck Malenstyn,BUF,L,0.994
Ilya Lyubushkin,DAL,D,1.005
Joakim Kemell,NSH,R,1.033
Zack Ostapchuk,S.J,C,0.958
Matthew Benning,TOR,D,1
Collin Graf,S.J,R,1.033
Connor Murphy,"CHI, EDM",D,0.996
Timothy Liljegren,"S.J, WSH",D,0.994
Angus Crookshank,N.J,C,1.083
Vincent Desharnais,S.J,D,1.019
Ryan Lindgren,SEA,D,0.988
Ben Jones,MIN,C,0.947
Jake Evans,MTL,C,0.965
Marshall Rifai,TOR,D,1.125
Quinn Hutson,EDM,R,1.011
Brandon Carlo,TOR,D,1.02
Anton Blidh,NYR,L,1.1
Mario Ferraro,S.J,D,0.998
Travis Mitchell,NYI,D,1.033
Victor Mancini,VAN,D,0.954
Joshua Mahura,SEA,D,1.07
Florian Xhekaj,MTL,L,0.972
Tyson Kozak,BUF,C,1.004
Liam Foudy,NYI,C,1
Felix Unger Sorum,CAR,R,1.25
Oskar Sundqvist,STL,C,0.969
Conor Timmins,BUF,D,0.989
Nico Sturm,MIN,C,0.992
Radek Faksa,DAL,C,0.986
Frederic Gaudreau,SEA,C,1.007
Isaak Phillips,WPG,D,1
Jordan Greenway,BUF,L,0.969
Oliver Bonk,PHI,D,1.179
Dominik Shine,DET,R,1.013
Alexey Toropchenko,STL,R,0.959
Matt Kiersted,MIN,D,1.018
John Beecher,"BOS, CGY",C,0.985
Simon Benoit,TOR,D,0.991
Noah Philp,"CAR, EDM",C,0.931
Daemon Hunt,MIN,D,0.987
Tyson Gross,CGY,C,0.983
Steven Lorentz,TOR,C,1
Hunter Skinner,STL,D,1.3
Dylan Duke,T.B,L,0.833
Barclay Goodrow,S.J,C,0.953
Marc McLaughlin,N.J,C,1.027
Jacob Quillan,TOR,C,0.962
Erik Gudbranson,CBJ,D,1.024
William Stromgren,CGY,L,0.923
Isaiah George,NYI,D,1.078
T.J. Tynan,COL,C,1.25
Calle Jarnkrok,TOR,C,0.959
Garrett Wilson,PHI,L,1.042
Luke Glendening,"N.J, PHI",C,0.977
Kurtis MacDermid,OTT,L,0.902
Justin Dowling,NYR,C,0.889
John Hayden,SEA,C,0.917
Lane Pederson,PHI,C,1.1
Braeden Cootes,VAN,C,0.9
Cameron Hughes,DAL,C,1.4
Ty Dellandrea,S.J,C,0.958
Cole McWard,NYI,D,1.093
Tristan Broz,PIT,C,0.889
Viking Gustafsson-Nyberg,MIN,D,1.13
Justin Danforth,BUF,R,0.931
Maxim Groshev,T.B,D,1.1
Bo Groulx,TOR,C,1.113
Angus Booth,L.A,D,1.25
Adam Ginning,PHI,D,1.095
Sheldon Dries,DET,C,0.947
Cole O'Hara,NSH,R,1.5
Domenick Fensore,CAR,D,0.833
Daniil Miromanov,CGY,D,1.3
Andrew Agozzino,UTA,L,1
Shane Lachance,N.J,L,1
Danil Zhilkin,WPG,C,1.273
Derek Forbort,VAN,D,1.109
Kevin Gravel,NSH,D,1.089
Jorian Donovan,OTT,D,1
Nathan Légaré,N.J,R,1
David Spacek,MIN,D,1.042
Trevor Kuntar,BUF,C,0.86
