Player,Team,Pos,PPP
Conor Garland,"VAN,CBJ",RW,10
Sam Steel,DAL,C,3
Andre Burakovsky,CHI,LW,10
Eetu Luostarinen,FLA,C,1
Alexander Nikishin,CAR,D,10
Gage Goncalves,TBL,C,2
Cole Sillinger,CBJ,C,1
Anthony-John (AJ) Greer,FLA,LW,1
Dmitri Voronkov,CBJ,LW,9
Nicholas Robertson,TOR,LW,4
Trevor Moore,LAK,LW,1
Oliver Bjorkstrand,TBL,RW,14
Cole Perfetti,WPG,C,6
Mackie Samoskevich,FLA,RW,10
Brandon Montour,SEA,D,8
Damon Severson,CBJ,D,4
Jamie Drysdale,PHI,D,9
Seth Jones,FLA,D,16
Esa Lindell,DAL,D,2
Emil Heineman,NYI,LW,4
Michael Carcone,UTA,LW,4
James van Riemsdyk,DET,LW,11
Evander Kane,VAN,LW,6
Victor Olofsson,"COL,CGY",LW,7
Arseny Gritsyuk,NJD,RW,5
Denton Mateychuk,CBJ,D,3
Jonathan Marchessault,NSH,RW,8
Evan Rodrigues,FLA,C,5
Ivan Provorov,CBJ,D,5
Sean Walker,CAR,D,1
Thomas Chabot,OTT,D,7
Jordan Spence,OTT,D,3
Josh Manson,COL,D,0
Matthew Wood,NSH,RW,8
Ryan Donato,CHI,C,2
Bobby Brink,"PHI,MIN",RW,7
Connor Dewar,PIT,C,0
Justin Hryckowian,DAL,C,5
Calum Ritchie,NYI,C,11
Emmitt Finnie,DET,C,8
Zachary Bolduc,MTL,RW,6
Artem Zub,OTT,D,0
Cam Fowler,STL,D,9
Parker Wotherspoon,PIT,D,0
Drew O'Connor,VAN,LW,0
Yegor Sharangovich,CGY,C,7
Alex Iafallo,WPG,LW,5
Pius Suter,STL,C,4
Jordan Martinook,CAR,LW,0
Ryan Greene,CHI,C,4
Jonathan Toews,WPG,C,8
Easton Cowan,TOR,RW,6
Owen Power,BUF,D,0
J.J. Moser,TBL,D,1
Charle-Edouard D'Astous,TBL,D,2
Rasmus Sandin,WSH,D,1
Anthony Beauvillier,WSH,RW,1
David Perron,"OTT,DET",LW,8
J.T. Compher,DET,LW,1
Yanni Gourde,TBL,C,0
MacKenzie Weegar,"CGY,UTA",D,6
Noah Hanifin,VGK,D,7
Gustav Forsling,FLA,D,2
Anthony Duclair,NYI,LW,6
Shane Wright,SEA,C,6
Danila Yurov,MIN,RW,3
Gabe Perreault,NYR,RW,6
Noah Ostlund,BUF,C,6
John Klingberg,SJS,D,9
Jack Drury,COL,C,0
Sean Durzi,UTA,D,4
Martin Fehervary,WSH,D,0
Ryan Pulock,NYI,D,1
Cody Glass,NJD,C,2
Reilly Smith,VGK,RW,1
Mathieu Olivier,CBJ,RW,0
Jaden Schwartz,SEA,LW,3
Simon Nemec,NJD,D,2
Logan Stanley,"WPG,BUF",D,1
Braeden Bowman,VGK,RW,4
Mason Lohrei,BOS,D,5
Zeev Buium,"MIN,VAN",D,13
Hampus Lindholm,BOS,D,4
Aaron Ekblad,FLA,D,5
Cam York,PHI,D,7
Brady Skjei,NSH,D,3
Adam Gaudette,SJS,RW,6
Joel Armia,LAK,RW,1
Noel Acciari,PIT,C,0
Alex Newhook,MTL,C,3
Andrei Kuzmenko,LAK,LW,13
Connor Zary,CGY,C,7
Jonathan Huberdeau,CGY,LW,7
Barrett Hayton,UTA,C,6
Jack McBain,UTA,C,0
Simon Edvinsson,DET,D,1
Nicolas Roy,"TOR,COL",C,2
Adam Larsson,SEA,D,0
Louis Crevier,CHI,D,0
Jake McCabe,TOR,D,0
Jake Evans,MTL,C,0
Ethen Frank,WSH,RW,4
Ross Colton,COL,C,0
Noah Laba,NYR,C,5
Nick Blankenburg,"NSH,COL",D,7
