Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Justin Brazeau,PIT,R,108,67.5,199,59.23
Matthew Robertson,NYR,D,78,36.11,262,47.12
Ryan Poehling,ANA,C,121,40.74,226,40.79
Hunter Brzustewicz,CGY,D,53,48.18,140,56.45
Erik Haula,NSH,L,150,52.82,328,49.32
Kris Letang,PIT,D,162,62.07,433,57.05
Brett Kulak,"COL, EDM, PIT",D,133,49.63,347,50.14
Tanner Jeannot,BOS,L,92,40.35,184,40
Pius Suter,STL,C,101,44.49,183,43.16
Cam Fowler,STL,D,209,50.73,464,53.21
Nils Lundkvist,DAL,D,82,42.05,205,44.18
Bryan Rust,PIT,R,214,63.13,413,58.75
Neal Pionk,WPG,D,104,49.29,262,54.02
Oskar Bäck,DAL,C,57,38.78,113,35.2
Jonas Rondbjerg,VGK,R,8,72.73,11,57.89
Mathieu Joseph,"L.A, STL",R,69,46.62,117,42.09
Gabriel Vilardi,WPG,C,244,65.42,459,64.02
Michael Kesselring,BUF,D,40,41.24,120,51.72
David Kampf,"VAN, WSH",C,70,38.04,136,39.53
Peyton Krebs,BUF,C,174,50.58,266,44.63
Lenni Hameenaho,N.J,R,59,41.84,103,41.7
Will Smith,S.J,C,183,68.28,369,60.79
Nicolas Deslauriers,"CAR, PHI",L,37,52.86,59,49.17
Harrison Brunicke,PIT,D,13,59.09,30,50
Alex Steeves,BOS,C,66,48.18,120,47.43
John Klingberg,S.J,D,113,50.45,296,52.2
Colton Sissons,VGK,C,75,38.27,130,35.71
Jansen Harkins,ANA,C,58,44.62,98,43.36
Noel Acciari,PIT,C,31,11.03,69,15.1
Morgan Geekie,BOS,C,199,60.67,358,53.59
Jonathan Aspirot,BOS,D,90,39.47,255,45.37
Alexander Wennberg,S.J,C,144,40.45,269,39.68
Nikita Zadorov,BOS,D,127,37.91,365,43.5
Nick Seeler,PHI,D,109,44.86,309,52.2
Esa Lindell,DAL,D,140,42.81,376,48.08
