Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Ronan Seeley,CAR,D,3,75,4,66.67
Josh Samanski,EDM,C,38,55.07,63,52.07
Luke Haymes,TOR,C,4,50,9,56.25
Dylan DeMelo,WPG,D,227,54.18,516,56.83
Mats Zuccarello,MIN,R,149,64.22,328,60.29
Fraser Minten,BOS,C,149,59.84,290,56.2
Matvei Michkov,PHI,R,206,73.84,355,65.74
Shane Pinto,OTT,C,110,32.64,170,30.3
Corey Perry,"L.A, T.B",R,121,69.14,231,59.38
Rickard Rakell,PIT,R,170,65.89,336,59.26
Rasmus Andersson,"CGY, VGK",D,250,50.61,534,52.92
Brad Marchand,FLA,L,97,51.05,188,50.13
Joel Farabee,CGY,L,212,59.72,399,59.2
Conor Sheary,NYR,L,121,52.84,199,46.28
Matt Savoie,EDM,C,170,64.39,340,59.65
Pavel Buchnevich,STL,L,180,52.94,316,52.4
Michael Misa,S.J,C,75,55.56,134,48.2
Fedor Svechkov,NSH,C,90,64.75,230,54.76
Vladislav Namestnikov,WPG,C,113,57.07,185,51.97
Pavol Regenda,S.J,L,28,38.89,48,33.1
Matt Roy,WSH,D,91,36.69,357,47.54
Miro Heiskanen,DAL,D,194,54.04,469,55.5
Kyle Palmieri,NYI,C,63,60.58,109,59.24
Mark Scheifele,WPG,C,274,69.9,510,65.55
Trevor Zegras,PHI,C,163,56.79,342,58.16
Vincent Trocheck,NYR,C,149,50.34,298,50.59
Josh Morrissey,WPG,D,260,62.05,593,62.03
Taylor Ward,L.A,R,21,37.5,39,32.77
Filip Hronek,VAN,D,203,47.99,555,52.86
Cameron Crotty,OTT,D,6,40,13,40.63
Emil Andrae,PHI,D,106,59.55,250,56.05
Sean Couturier,PHI,C,132,38.71,255,39.78
Marco Kasper,DET,C,135,48.74,221,42.42
Simon Nemec,N.J,D,146,50.69,335,52.92
Braeden Bowman,VGK,R,130,62.5,234,60
Maxim Tsyplakov,"N.J, NYI",R,61,57.55,110,54.19
Jiri Kulich,BUF,C,30,46.15,59,52.68
J.T. Miller,NYR,C,170,49.71,322,48.86
Owen Tippett,PHI,R,142,44.38,291,46.26
Nils Hoglander,VAN,L,75,65.79,125,57.6
Keegan Kolesar,VGK,R,99,40.08,188,41.23
Pavel Mintyukov,ANA,D,133,47,323,50.55
Matt Coronato,CGY,R,185,53.16,381,55.3
Denver Barkey,PHI,C,67,46.21,133,48.9
Alex Iafallo,WPG,L,177,56.91,307,56.12
Joona Koppanen,PIT,L,11,22.45,20,25
Yegor Chinakhov,"CBJ, PIT",R,135,65.22,274,59.96
Declan Carlile,T.B,D,65,56.03,162,56.84
Emmitt Finnie,DET,C,171,51.82,308,47.53
Nolan Foote,FLA,L,13,35.14,36,50
Zayne Parekh,CGY,D,114,81.43,236,76.13
Ryan Nugent-Hopkins,EDM,C,170,60.5,304,56.93
Jonas Brodin,MIN,D,77,36.49,314,47.94
Max Sasson,VAN,C,79,61.72,146,53.87
Donovan Sebrango,"FLA, OTT",D,71,51.45,144,52.17
Jake Neighbours,STL,L,157,55.28,278,54.51
Marc Gatcomb,NYI,C,64,50,124,51.88
Jared McCann,SEA,L,145,64.16,238,57.91
Kyle Connor,WPG,L,282,71.39,511,66.02
Marcus Foligno,MIN,L,50,33.56,130,38.46
Bowen Byram,BUF,D,179,44.42,400,46.19
Bobby Brink,"MIN, PHI",R,113,56.78,239,55.07
Tim Washe,ANA,C,48,31.58,83,32.81
Tanner Laczynski,VGK,C,9,45,21,43.75
Juraj Slafkovský,MTL,L,195,59.63,354,54.46
Andrew Mangiapane,"CHI, EDM",L,120,57.14,193,49.87
Kyle Capobianco,DAL,D,43,60.56,96,54.24
P.O Joseph,VAN,D,41,56.16,96,53.33
Yegor Sharangovich,CGY,C,159,54.64,308,52.56
Casey Cizikas,NYI,C,110,47.83,197,46.9
Dennis Gilbert,OTT,D,11,55,28,51.85
Tyson Jost,NSH,C,72,44.72,181,45.02
Charlie McAvoy,BOS,D,158,46.06,420,50.66
Morgan Frost,CGY,C,246,67.58,439,66.21
Simon Holmstrom,NYI,R,153,52.22,278,49.38
Nikita Nesterenko,ANA,C,44,41.12,81,45.51
Ivan Ivan,COL,C,8,53.33,11,45.83
Ryan Shea,PIT,D,106,46.09,325,47.45
Brayden Pachal,CGY,D,56,49.56,154,56
Joel Armia,L.A,R,106,47.75,206,46.4
Mika Zibanejad,NYR,C,225,58.29,388,52.36
Zachary Bolduc,MTL,R,134,51.34,229,47.02
Josh Dunne,BUF,C,20,24.1,28,20.29
Ondrej Palat,"N.J, NYI",L,144,49.32,254,49.13
Erik Cernak,T.B,D,92,37.86,220,42.88
Matthew Wood,NSH,R,128,72.73,244,61.15
Jason Zucker,BUF,L,168,57.53,240,52.06
Will Cuylle,NYR,L,179,51.88,330,48.96
David Pastrnak,BOS,R,234,64.29,446,56.38
Drew Helleson,ANA,D,122,50,289,53.62
Olli Määttä,"CGY, UTA",D,62,44.93,172,50
Anthony Beauvillier,WSH,"L, R",179,57.37,322,54.03
Dylan Strome,WSH,C,286,74.87,445,67.42
Nic Dowd,"VGK, WSH",C,68,24.91,133,27.59
Macklin Celebrini,S.J,C,239,68.09,480,59.26
Cole Schwindt,FLA,R,45,60.81,65,52
Jacob Melanson,SEA,R,21,32.81,40,33.9
Zach Whitecloud,"CGY, VGK",D,144,45.28,357,48.97
